startTime,endTime,rerun,limited,fast,studentId
2025-08-20 11:00:00,2025-09-03 10:59:59,FALSE,FALSE,FALSE,10125
2025-08-20 11:00:00,2025-09-03 10:59:59,FALSE,FALSE,FALSE,10126
2025-09-03 11:00:00,2025-09-17 10:59:59,TRUE,TRUE,FALSE,10101
2025-09-03 11:00:00,2025-09-17 10:59:59,TRUE,TRUE,FALSE,10102
2025-09-03 11:00:00,2025-09-17 10:59:59,TRUE,FALSE,FALSE,20049
2025-09-03 11:00:00,2025-09-17 10:59:59,TRUE,FALSE,FALSE,20027
2025-09-03 11:00:00,2025-09-17 10:59:59,TRUE,FALSE,FALSE,10044
2025-09-17 11:00:00,2025-09-24 10:59:59,TRUE,TRUE,FALSE,10026
2025-09-17 11:00:00,2025-09-24 10:59:59,TRUE,TRUE,FALSE,10027
2025-09-17 11:00:00,2025-09-24 10:59:59,TRUE,FALSE,FALSE,20019
2025-09-24 11:00:00,2025-10-08 10:59:59,TRUE,FALSE,FALSE,10127
2025-09-24 11:00:00,2025-10-08 10:59:59,TRUE,FALSE,FALSE,10128
2025-09-24 11:00:00,2025-10-08 10:59:59,FALSE,FALSE,FALSE,20040
2025-10-08 11:00:00,2025-10-15 10:59:59,FALSE,FALSE,FALSE,20050
2025-10-08 11:00:00,2025-10-15 10:59:59,TRUE,FALSE,FALSE,10039
2025-10-08 11:00:00,2025-10-15 10:59:59,TRUE,FALSE,FALSE,10055
2025-10-15 11:00:00,2025-10-22 10:59:59,TRUE,TRUE,FALSE,10022
2025-10-15 11:00:00,2025-10-22 10:59:59,TRUE,TRUE,FALSE,10023
2025-10-15 11:00:00,2025-10-22 10:59:59,TRUE,FALSE,FALSE,20029
2025-10-22 11:00:00,2025-11-05 10:59:59,FALSE,TRUE,FALSE,10129
2025-10-22 11:00:00,2025-11-05 10:59:59,FALSE,TRUE,FALSE,20051
