season,startTime,endTime,type,teran,armorType,3nd,4nd,prediction
1,2022-10-18 11:00:00,2022-10-25 03:59:59,shooting,Outdoor,LightArmor,아군 공격 속도 감소,적 회피 수치 증가
2,2022-11-15 11:00:00,2022-11-22 03:59:59,defense,Outdoor,Unarmed,아군 defense력 감소,적 사망 시 자폭
3,2022-11-29 11:00:00,2022-12-06 03:59:59,breakthrough,Outdoor,HeavyArmor,SR을 사용하는 학생들의 공격력 감소,적 명중치 증가
4,2023-01-10 11:00:00,2023-01-17 03:59:59,shooting,Indoor,HeavyArmor,아군 치명 수치 증가,EX 스킬 사용 시 코스트 회복 속도 감소
5,2023-01-24 11:00:00,2023-01-31 03:59:59,defense,Indoor,LightArmor,"MT, AR을 사용하는 학생들의 공격력 감소","적 체력이 증가하는 대신, 군중제어 효과 적중 시 추가 피해"
6,2023-02-21 11:00:00,2023-02-28 03:59:59,breakthrough,Indoor,Unarmed,허수아비의 체력 1초마다 감소,"팀에 서포터, 어태커, 탱커, 힐러, T.S.가 모두 한 명 이상 편성할 경우 아군 전체의 코스트 회복 속도 증가"
7,2023-03-21 11:00:00,2023-03-28 03:59:59,shooting,Street,Unarmed,편성한 학생의 수가 적을수록 코스트 회복 속도가 증가(최대 4명까지),일정 시간마다 적이 체력을 회복
8,2023-04-04 11:00:00,2023-04-11 03:59:59,defense,Street,HeavyArmor,"적 최대 체력이 감소하지만, 한 번에 최대 1의 피해만 받음","AR, HG 무기를 사용하는 아군 학생이 공격 시 추가 피해가 적용"
9,2023-05-02 11:00:00,2023-05-09 03:59:59,breakthrough,Street,LightArmor,아군에게 걸려있는 이로운 효과가 사라짐,적의 defense관통 수치가 증가
10,2023-06-13 11:00:00,2023-06-20 03:59:59,shooting,Indoor,LightArmor,"T.S 클래스, AR 무기 공격력 증가",EX 스킬 대미지 면역
11,2023-06-27 11:00:00,2023-07-04 03:59:59,defense,Indoor,Unarmed,"적 처치 시 공격력 감소, 회복 시 제거","SR, MG 무기 공격력 감소"
12,2023-08-15 11:00:00,2023-08-22 03:59:59,breakthrough,Indoor,HeavyArmor,허수아비 상태 변화[12차],적 사망 시 해당 위치에 화염 지대 생성
13,2023-09-12 11:00:00,2023-09-19 03:59:59,shooting,Indoor,Unarmed,"화상, 오한, 중독, 응원의 열기 추가 피해",치명저항 수치 증가
14,2023-10-10 11:00:00,2023-10-17 03:59:59,defense,Outdoor,HeavyArmor,"적 이동속도 감소, 공격력 증가",아군 탱커 최대 체력 감소
15,2023-11-07 11:00:00,2023-11-14 03:59:59,breakthrough,Outdoor,LightArmor,게헨나 소속 학생의 공격력이 증가,"편성한 학생 수에 따라 최대 체력과 코스트 회복 속도가 변화, 적을수록 더 많은 수치가 증가(최대 4명까지)"
16,2023-12-05 11:00:00,2023-12-12 03:59:59,shooting,Street,HeavyArmor,스페셜 학생의 공격력 증가,아군이 치명적인 중독에 걸림
